TEST TYPE	UPDATE MILLISECS	NUM FIGHTER	NUM BLUE	NUM PURPLE	ALIVE
SCALAR	32	1040	16	1024	756
SCALAR	45	1040	16	1024	755
SCALAR	42	1040	16	1024	755
SCALAR	99	1040	16	1024	755
SCALAR	59	1040	16	1024	755
SCALAR	44	1040	16	1024	755
SCALAR	32	1040	16	1024	755
SCALAR	29	1040	16	1024	753
SCALAR	28	1040	16	1024	751
SCALAR	24	1040	16	1024	751
SCALAR	23	1040	16	1024	751
SCALAR	25	1040	16	1024	751
SCALAR	26	1040	16	1024	751
SCALAR	25	1040	16	1024	751
SCALAR	28	1040	16	1024	751
SCALAR	29	1040	16	1024	750
SCALAR	33	1040	16	1024	750
SCALAR	28	1040	16	1024	750
SCALAR	44	1040	16	1024	750
SCALAR	49	1040	16	1024	748
SCALAR	52	1040	16	1024	748
SCALAR	74	1040	16	1024	747
SCALAR	61	1040	16	1024	746
SCALAR	70	1040	16	1024	746
SCALAR	81	1040	16	1024	744
SCALAR	57	1040	16	1024	743
SCALAR	54	1040	16	1024	743
SCALAR	27	1040	16	1024	743
SCALAR	33	1040	16	1024	743
SCALAR	23	1040	16	1024	743
SCALAR	24	1040	16	1024	742
SCALAR	28	1040	16	1024	742
SCALAR	33	1040	16	1024	741
SCALAR	31	1040	16	1024	740
SCALAR	34	1040	16	1024	740
SCALAR	33	1040	16	1024	740
SCALAR	80	1040	16	1024	738
SCALAR	71	1040	16	1024	738
SCALAR	60	1040	16	1024	738
SCALAR	54	1040	16	1024	737
SCALAR	52	1040	16	1024	737
SCALAR	64	1040	16	1024	737
SCALAR	60	1040	16	1024	737
SCALAR	28	1040	16	1024	735
SCALAR	47	1040	16	1024	735
SCALAR	80	1040	16	1024	735
SCALAR	34	1040	16	1024	734
SCALAR	57	1040	16	1024	734
SCALAR	33	1040	16	1024	734
SCALAR	32	1040	16	1024	734
SCALAR	36	1040	16	1024	734
SCALAR	39	1040	16	1024	734
SCALAR	46	1040	16	1024	734
